MOC_DEMOGRAFIA_ID;MOC_ZONAS_ID;PK_RANGO_ETARIO_ID;PK_GENERO_ID;POBLACION_VIVIENTE;POBLACION_TRABAJADORA;RANGO_ETARIO;GENERO
541;39;3;1;1707;1451;[30-40);M
542;39;0;1;1017;0;[0-10);M
543;39;2;0;1680;1443;[20-30);H
544;39;1;1;1169;208;[10-20);M
545;39;6;0;1818;952;[60-INF);H
546;39;4;0;1253;1198;[40-50);H
547;40;5;0;971;888;[50-60);H
548;40;2;0;1368;1185;[20-30);H
549;40;4;1;1120;798;[40-50);M
550;40;1;0;1178;203;[10-20);H
551;40;0;0;1193;0;[0-10);H
552;40;6;1;2460;505;[60-INF);M
553;40;0;1;1102;0;[0-10);M
554;40;5;1;1183;754;[50-60);M
555;40;4;0;992;934;[40-50);H
556;40;3;0;1314;1246;[30-40);H
557;40;6;0;1590;684;[60-INF);H
558;40;3;1;1309;982;[30-40);M
559;40;1;1;1171;164;[10-20);M
560;40;2;1;1377;978;[20-30);M
561;41;6;0;1379;759;[60-INF);H
562;41;4;0;1078;1045;[40-50);H
563;41;5;1;1241;959;[50-60);M
564;41;2;0;1358;1189;[20-30);H
565;41;0;0;1007;0;[0-10);H
566;41;3;1;1441;1222;[30-40);M
567;41;1;1;1108;176;[10-20);M
568;41;0;1;1044;0;[0-10);M
569;41;2;1;1334;1060;[20-30);M
570;41;4;1;1281;1067;[40-50);M
571;41;5;0;968;904;[50-60);H
572;41;6;1;2248;646;[60-INF);M
573;41;1;0;1048;201;[10-20);H
574;41;3;0;1351;1300;[30-40);H
575;42;3;1;746;603;[30-40);M
576;42;6;0;992;500;[60-INF);H
577;42;5;1;700;517;[50-60);M
578;42;2;1;671;508;[20-30);M
579;42;4;0;597;560;[40-50);H
580;42;0;1;501;0;[0-10);M
581;42;1;0;545;80;[10-20);H
582;42;4;1;717;573;[40-50);M
583;42;2;0;675;559;[20-30);H
584;42;6;1;1439;347;[60-INF);M
585;42;3;0;663;634;[30-40);H
586;42;5;0;563;523;[50-60);H
587;42;1;1;528;83;[10-20);M
588;42;0;0;540;0;[0-10);H
589;43;0;0;1080;0;[0-10);H
590;43;5;0;933;860;[50-60);H
591;43;1;0;987;179;[10-20);H
592;43;4;1;1164;916;[40-50);M
593;43;2;1;1213;938;[20-30);M
594;43;6;1;2285;575;[60-INF);M
595;43;3;0;1318;1245;[30-40);H
596;43;5;1;1106;813;[50-60);M
597;43;1;1;983;135;[10-20);M
598;43;4;0;1037;1001;[40-50);H
599;43;6;0;1498;737;[60-INF);H
600;43;3;1;1389;1112;[30-40);M
601;43;2;0;1202;1031;[20-30);H
602;43;0;1;967;0;[0-10);M
603;44;5;0;519;474;[50-60);H
604;44;4;1;644;532;[40-50);M
605;44;1;1;545;96;[10-20);M
606;44;0;1;475;0;[0-10);M
607;44;3;1;792;656;[30-40);M
608;44;6;1;1248;357;[60-INF);M
609;44;2;0;741;632;[20-30);H
610;44;1;0;580;98;[10-20);H
611;44;4;0;581;548;[40-50);H
612;44;0;0;549;0;[0-10);H
613;44;5;1;618;472;[50-60);M
614;44;3;0;728;693;[30-40);H
615;44;6;0;755;401;[60-INF);H
616;44;2;1;683;533;[20-30);M
617;45;6;0;1058;493;[60-INF);H
618;45;4;0;758;718;[40-50);H
619;45;0;0;796;0;[0-10);H
620;45;5;1;733;509;[50-60);M
621;45;1;1;778;111;[10-20);M
622;45;2;0;953;801;[20-30);H
623;45;3;0;912;857;[30-40);H
624;45;0;1;773;0;[0-10);M
625;45;6;1;1702;344;[60-INF);M
626;45;1;0;775;131;[10-20);H
627;45;4;1;873;695;[40-50);M
628;45;3;1;922;732;[30-40);M
629;45;2;1;928;682;[20-30);M
630;45;5;0;622;567;[50-60);H
631;46;6;0;1188;605;[60-INF);H
632;46;0;0;678;0;[0-10);H
633;46;1;0;607;128;[10-20);H
634;46;5;1;942;757;[50-60);M
635;46;2;1;1348;1021;[20-30);M
636;46;4;0;855;785;[40-50);H
637;46;6;1;2222;690;[60-INF);M
638;46;0;1;642;0;[0-10);M
639;46;3;1;1258;1051;[30-40);M
640;46;1;1;610;119;[10-20);M
641;46;4;1;872;746;[40-50);M
642;46;3;0;1198;1129;[30-40);H
643;46;2;0;1222;1006;[20-30);H
644;46;5;0;695;616;[50-60);H
645;47;5;0;600;545;[50-60);H
646;47;3;1;923;741;[30-40);M
647;47;4;1;690;554;[40-50);M
648;47;1;0;617;106;[10-20);H
649;47;0;1;605;0;[0-10);M
650;47;2;1;734;566;[20-30);M
651;47;6;0;906;452;[60-INF);H
652;47;5;1;693;474;[50-60);M
653;47;3;0;862;833;[30-40);H
654;47;6;1;1519;382;[60-INF);M
655;47;1;1;608;103;[10-20);M
656;47;4;0;648;621;[40-50);H
657;47;2;0;754;659;[20-30);H
658;47;0;0;664;0;[0-10);H
659;48;5;0;345;274;[50-60);H
660;48;4;0;439;328;[40-50);H
661;48;2;0;681;531;[20-30);H
662;48;0;1;284;0;[0-10);M
663;48;6;1;639;244;[60-INF);M
664;48;1;1;325;67;[10-20);M
665;48;3;1;549;410;[30-40);M
666;48;5;1;317;246;[50-60);M
667;48;2;1;532;363;[20-30);M
668;48;4;1;408;310;[40-50);M
669;48;6;0;438;234;[60-INF);H
670;48;3;0;618;490;[30-40);H
671;48;0;0;338;0;[0-10);H
672;48;1;0;312;71;[10-20);H
673;49;2;0;1743;1486;[20-30);H
674;49;5;0;959;874;[50-60);H
675;49;0;0;1572;0;[0-10);H
676;49;6;1;1818;483;[60-INF);M
677;49;1;1;1602;255;[10-20);M
678;49;3;0;1416;1333;[30-40);H
